name,title
縣市,縣市
鄉鎮市區,鄉鎮市區
段代碼,段代碼
段小段,段小段
地號,地號
登記面積,登記面積
使用分區,使用分區
使用地類別,使用地類別
公告現值,公告現值
公告地價,公告地價
登記次序,登記次序
所有權人,所有權人
統一編號,統一編號
所有權人類別,所有權人類別
權利範圍類別,權利範圍類別
權利範圍持分分母,權利範圍持分分母
權利範圍持分分子,權利範圍持分分子
申報地價,申報地價
管理者名稱,管理者名稱
